category,name,description,price,calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Apple Juice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Bottled Water,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Marinara & Kids Blue Raspberry Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Meat Sauce & Kids Strawberry Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Kids Soft Drink,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Chocolate Milk,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Apple Juice,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Bottled Water,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Kids Soft Drink,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Milk,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Chocolate Milk,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Meat Sauce & Kids Original Lemon Ice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Kids Blue Raspberry Lemon Ice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Kids Original Lemon Ice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Marinara & Kids Original Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Milk,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Chocolate Milk,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Apple Juice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Kids Blue Raspberry Lemon Ice,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Kids Original Lemon Ice,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Kids Strawberry Lemon Ice,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Apple Juice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Bottled Water,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Kids Blue Raspberry Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Kids Original Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Garlic Butter & Kids Strawberry Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Meat Sauce & Kids Strawberry Lemon Ice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Kids Strawberry Lemon Ice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Kids Soft Drink,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Marinara & Kids Strawberry Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Bottled Water,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Kids Soft Drink,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Kids Soft Drink,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Milk,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Kids Soft Drink,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Kids Blue Raspberry Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Milk,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Milk,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Chocolate Milk,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Milk,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Kids Original Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Chocolate Milk,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Chocolate Milk,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Apple Juice,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Chocolate Milk,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Garlic Butter & Kids Strawberry Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Apple Juice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Bottled Water,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Kids Blue Raspberry Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Apple Juice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Garlic Butter & Bottled Water,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Meat Sauce & Apple Juice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Kids Soft Drink,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti No Sauce & Milk,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Kids Original Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini No Sauce & Kids Strawberry Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Garlic Butter & Bottled Water,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
