Fazoli's  3134 Dial Dr  Council Bluffs  IA 51501  USA
Timing: 10:30AM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
Three-Cheese Tortellini Alfredo=>Spaghetti,48608260.0,Specialty Pastas,"Alfredo, chicken, bacon, grape tomatoes, peas. ( ",7.99,840,6 Breadsticks; 02. Spaghetti with Meatballs; 12 Breadsticks
Three-Cheese Tortellini Alfredo=>Whole Grain Rotini,48608260.0,Specialty Pastas,"Alfredo, chicken, bacon, grape tomatoes, peas. ( ",7.99,840,6 Breadsticks; 02. Spaghetti with Meatballs; 12 Breadsticks
Top It Meats,66848111.0,Extras,,1.5,,05. Baked Spaghetti; 03. Fettuccine Alfredo; 07. Baked Lasagna
Top It Veggies,66848138.0,Extras,,1.0,,12 Breadsticks; 08. Baked Ziti; 15. Oven-Baked Classic
Turkey Club Classico,48608370.0,Primo Submarinos,"Smoked turkey, ham, bacon, mozzarella, tomatoes, red onion, lettuce, parmesan peppercorn ranch.",7.29,,2 Breadsticks; Meatball Da Vinci; 05. Baked Spaghetti
Ultimate Fettuccine=>Fettuccinne,48608262.0,Specialty Pastas,"Alfredo, chicken, bacon, garlic-roasted mushrooms, broccoli. ( ",7.99,900,11. Chicken Broccoli Penne; 12 Breadsticks; 2 Breadsticks
Ultimate Fettuccine=>Penne,48608262.0,Specialty Pastas,"Alfredo, chicken, bacon, garlic-roasted mushrooms, broccoli. ( ",7.99,900,11. Chicken Broccoli Penne; 12 Breadsticks; 2 Breadsticks
Ultimate Fettuccine=>Spaghetti,48608262.0,Specialty Pastas,"Alfredo, chicken, bacon, garlic-roasted mushrooms, broccoli. ( ",7.99,900,11. Chicken Broccoli Penne; 12 Breadsticks; 2 Breadsticks
Ultimate Fettuccine=>Whole Grain Rotini,48608262.0,Specialty Pastas,"Alfredo, chicken, bacon, garlic-roasted mushrooms, broccoli. ( ",7.99,900,11. Chicken Broccoli Penne; 12 Breadsticks; 2 Breadsticks
Ultimate Spaghetti=>Fettuccinne,48608264.0,Specialty Pastas,"Marinara, meatballs, sausage, bacon, seasoned mushrooms ( ",7.99,920,15. Oven-Baked Classic; 03. Fettuccine Alfredo; Extra Cheese
Ultimate Spaghetti=>Penne,48608264.0,Specialty Pastas,"Marinara, meatballs, sausage, bacon, seasoned mushrooms ( ",7.99,920,15. Oven-Baked Classic; 03. Fettuccine Alfredo; Extra Cheese
Ultimate Spaghetti=>Spaghetti,48608264.0,Specialty Pastas,"Marinara, meatballs, sausage, bacon, seasoned mushrooms ( ",7.99,920,15. Oven-Baked Classic; 03. Fettuccine Alfredo; Extra Cheese
Ultimate Spaghetti=>Whole Grain Rotini,48608264.0,Specialty Pastas,"Marinara, meatballs, sausage, bacon, seasoned mushrooms ( ",7.99,920,15. Oven-Baked Classic; 03. Fettuccine Alfredo; Extra Cheese
White Milk,48608415.0,Drinks + Italian Ice,( ,1.09,110,2 Breadsticks; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Whole Pizza=>Cheese,48608375.0,Pizzas,"Topped with Fazoli's pizza sauce, pepperoni and a blend of mozzarella and provolone cheeses.  ( ",10.99,280-290,Extra Cheese; 08. Baked Ziti; 12 Breadsticks
Whole Pizza=>Pepperoni,48608375.0,Pizzas,"Topped with Fazoli's pizza sauce, pepperoni and a blend of mozzarella and provolone cheeses.  ( ",10.99,280-290,Extra Cheese; 08. Baked Ziti; 12 Breadsticks
