Category,Sub Category,Name,Description,Nutritional value,Allergens
All Star Meals,,Hand Breaded Chicken Tender All Star Meal,"3-piece hand-breaded chicken tenders, your choice of dipping sauce, fries, small drink and fresh-baked chocolate chip cookie","{'Serving Size': '253g', 'Calories': '700', 'Calories from Fat': '310', 'Fat': '35g', 'Saturated Fat': '10g', 'Trans Fat': '0g', 'Cholesterol': '80mg', 'Sodium': '1440mg', 'Carbohydrates': '70g', 'Dietary Fiber': '5g', 'Sugars': '15g', 'Protein': '29g'}",
All Star Meals,,"Fiery Chicken Sandwich, Fry, Cookie, Drink","Spicy chicken patty topped with melted pepper jack cheese and pickled jalapenos, fries, small drink and a fresh-baked chocolate chip cookie.","{'Serving Size': '0g', 'Calories': '0', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '0mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '0g'}",
Chicken & More,Charbroiled Chicken,Charbroiled BBQ Chicken™ Sandwich,"Charbroiled Chicken Breast, Lettuce, Tomato and Tangy BBQ Sauce on a Honey Wheat Bun.","{'Serving Size': '239g', 'Calories': '390', 'Calories from Fat': '70', 'Fat': '7g', 'Saturated Fat': '1.5g', 'Trans Fat': '0g', 'Cholesterol': '60mg', 'Sodium': '990mg', 'Carbohydrates': '50g', 'Dietary Fiber': '3g', 'Sugars': '13g', 'Protein': '30g'}","Fish, Soy, Wheat"
Chicken & More,Charbroiled Chicken,Charbroiled Santa Fe Chicken™ Sandwich,"Charbroiled Chicken Breast, Melted American Cheese, Mild Green Chile, Lettuce and Santa Fe Sauce on a Honey Wheat Bun.","{'Serving Size': '256g', 'Calories': '560', 'Calories from Fat': '250', 'Fat': '27g', 'Saturated Fat': '7g', 'Trans Fat': '0g', 'Cholesterol': '85mg', 'Sodium': '1290mg', 'Carbohydrates': '46g', 'Dietary Fiber': '3g', 'Sugars': '10g', 'Protein': '33g'}","Egg, Fish, Soy, Wheat"
Chicken & More,Charbroiled Chicken,Charbroiled Chicken Club™ Sandwich,"Charbroiled Chicken Breast, Two Strips of Bacon, Melted Swiss Cheese, Lettuce, Tomato and Mayonnaise on a Honey Wheat Bun.","{'Serving Size': '264g', 'Calories': '580', 'Calories from Fat': '260', 'Fat': '28g', 'Saturated Fat': '8g', 'Trans Fat': '0g', 'Cholesterol': '90mg', 'Sodium': '1290mg', 'Carbohydrates': '46g', 'Dietary Fiber': '2g', 'Sugars': '11g', 'Protein': '36g'}","Egg, Fish, Soy, Wheat"
Chicken & More,Hand-Breaded Chicken,Honey Mustard Dipping Sauce,,"{'Serving Size': '25g', 'Calories': '120', 'Calories from Fat': '110', 'Fat': '12g', 'Saturated Fat': '2g', 'Trans Fat': '0g', 'Cholesterol': '10mg', 'Sodium': '130mg', 'Carbohydrates': '4g', 'Dietary Fiber': '0g', 'Sugars': '3g', 'Protein': '0g'}",Egg
Chicken & More,Hand-Breaded Chicken,Buttermilk Ranch Dipping Sauce,,"{'Serving Size': '25g', 'Calories': '100', 'Calories from Fat': '90', 'Fat': '10g', 'Saturated Fat': '1.5g', 'Trans Fat': '0g', 'Cholesterol': '10mg', 'Sodium': '220mg', 'Carbohydrates': '2g', 'Dietary Fiber': '0g', 'Sugars': '2g', 'Protein': '0g'}","Egg, Milk"
Chicken & More,Hand-Breaded Chicken,Sweet & Bold BBQ Dipping Sauce,,"{'Serving Size': '25g', 'Calories': '50', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '190mg', 'Carbohydrates': '13g', 'Dietary Fiber': '0g', 'Sugars': '5g', 'Protein': '0g'}",
Chicken & More,Hand-Breaded Chicken,Kids Hand-Breaded Chicken Tenders™,"Two freshly prepared hand-breaded chicken tenders. Premium, all-white meat chicken hand dipped in buttermilk, lightly breaded and fried to a golden brown. Served with a choice of honey mustard, buttermilk ranch or sweet & bold BBQ dipping sauces.","{'Serving Size': '85g', 'Calories': '180', 'Calories from Fat': '80', 'Fat': '9g', 'Saturated Fat': '2g', 'Trans Fat': '0g', 'Cholesterol': '45mg', 'Sodium': '520mg', 'Carbohydrates': '9g', 'Dietary Fiber': '1g', 'Sugars': '0g', 'Protein': '16g'}","Egg, Milk, Wheat"
Chicken & More,Hand-Breaded Chicken,5 Piece - Hand-Breaded Chicken Tenders™,"Freshly prepared hand-breaded chicken tenders. Premium, all-white meat chicken, hand dipped in buttermilk, lightly breaded and fried to a golden brown. Served with a choice of honey mustard, buttermilk ranch or sweet & bold BBQ dipping sauces.","{'Serving Size': '213g', 'Calories': '440', 'Calories from Fat': '190', 'Fat': '21g', 'Saturated Fat': '4.5g', 'Trans Fat': '0g', 'Cholesterol': '115mg', 'Sodium': '1290mg', 'Carbohydrates': '21g', 'Dietary Fiber': '3g', 'Sugars': '0g', 'Protein': '41g'}","Egg, Milk, Soy, Wheat"
