Fazoli's  13201 Ranch Road 620 N Suite S  Austin  TX 78717
Timing: 3:00PM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
Garlic-Roasted Mushrooms,104413266.0,Sides and Extras,,1.5,,"['Caesar Side Salad', 'Extra Breadsticks (Dozen)', 'Chicken Bacon Caesar']"
House Side Salad,104413275.0,Salads,Grape tomatoes red onion shredded mozzarella served with your choice of dressing.  ,2.79,70,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Italian Ice=>Blue Raspberry,104413289.0,Drinks and Italian Ice,,2.69,,"['Triple Chocolate Cheesecake', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Italian Ice=>Original Lemon,104413289.0,Drinks and Italian Ice,,2.69,,"['Triple Chocolate Cheesecake', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Italian Ice=>Strawberry,104413289.0,Drinks and Italian Ice,,2.69,,"['Triple Chocolate Cheesecake', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Italian Sausage,104413268.0,Sides and Extras,,1.5,,"['Chocolate Chunk Cookie', 'Triple Chocolate Cheesecake', 'Meatballs']"
Meatball DA Vinci,104413252.0,Popular Items/Primo Submarines,Meatbolls. Pepperoni mozzarella.  ,7.49,920,"['Meatballs', 'Italian Sausage', 'Extra Breadsticks (Half Dozen)']"
Meatballs,104413269.0,Sides and Extras,,1.5,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Milk=>Chocolate,104413286.0,Drinks and Italian Ice,,1.49,,"['Extra Breadsticks (Half Dozen)', 'Chocolate Chunk Brownie', 'Extra Breadsticks (Dozen)']"
Milk=>White,104413286.0,Drinks and Italian Ice,,1.49,,"['Extra Breadsticks (Half Dozen)', 'Chocolate Chunk Brownie', 'Extra Breadsticks (Dozen)']"
New York Style Cheesecake=>New York Style,104413296.0,Desserts,Graham Cracker Crust with rich and creamy New York Style Cheesecake and Strawberry Topping.,3.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
New York Style Cheesecake=>Triple Chocolate,104413296.0,Desserts,Graham Cracker Crust with rich and creamy New York Style Cheesecake and Strawberry Topping.,3.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Oven-Baked Classic Sampler,104413292.0,Popular Items/Samplers,"Fettuccine alfredo, lasagna with meat sauce, spaghetti meatball, baked with mozzarella and provolone cheeses.  ",8.49,930,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way=>Fettuccine (410 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way=>Penne (410 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way=>Ravioli (320 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way=>Spaghetti (410 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way=>Tortellini (400 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
