Values_mod,Item_mod,Item,Attribute,Values,Attribute_mod,Values_mod
mushrooms,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,mushrooms
pineapple,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,pineapple
green peppers,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,green peppers
spinach,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,spinach
roasted red peppers,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,roasted red peppers
italian sausage,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,italian sausage
premium chicken,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,premium chicken
bacon,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,bacon
philly steak,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,philly steak
pepperoni,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,pepperoni
salami,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,salami
beef,pizza,pizzas,Meat(Non veg) Toppings,"Italian Sausage, Premium Chicken, Bacon, Philly Steak, Pepperoni, Salami, Beef and Ham",meat,beef
